,Draw Number,Date,Immigration program,Invitations issued,CRS score of lowest-ranked candidate invited,Date (hidden),Programs covered,Month,Year,month_year,Date Full
54,118,5/29/2019,No program specified,3350,470,5/29/2019,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,5,2019,5/1/2019,29-May-19
55,117,5/15/2019,Federal Skilled Trades,500,332,5/15/2019,Federal Skilled Trades,5,2019,5/1/2019,15-May-19
56,116,5/1/2019,No program specified,3350,450,1/5/2019,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,5,2019,5/1/2019,1-May-19
57,115,4/17/2019,No program specified,3350,451,4/17/2019,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,4,2019,4/1/2019,17-Apr-19
58,114,4/3/2019,No program specified,3350,451,3/4/2019,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,4,2019,4/1/2019,3-Apr-19
59,113,3/20/2019,No program specified,3350,452,3/20/2019,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,3,2019,3/1/2019,20-Mar-19
60,112,3/6/2019,No program specified,3350,454,6/3/2019,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,3,2019,3/1/2019,6-Mar-19
61,111,2/20/2019,No program specified,3350,457,2/20/2019,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,2,2019,2/1/2019,20-Feb-19
62,110,1/30/2019,No program specified,3350,438,1/30/2019,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,1,2019,1/1/2019,30-Jan-19
63,109,1/23/2019,No program specified,3900,443,1/23/2019,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,1,2019,1/1/2019,23-Jan-19
64,108,1/9/2019,No program specified,3900,449,9/1/2019,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,1,2019,1/1/2019,9-Jan-19
65,107,12/19/2018,No program specified,3900,439,12/19/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,12,2018,12/1/2018,19-Dec-18
66,106,12/12/2018,No program specified,3900,445,12/12/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,12,2018,12/1/2018,12-Dec-18
67,105,11/28/2018,No program specified,3900,445,11/28/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,11,2018,11/1/2018,28-Nov-18
68,104,11/14/2018,No program specified,3900,449,11/14/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,11,2018,11/1/2018,14-Nov-18
69,103,10/29/2018,No program specified,3900,442,10/29/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,10,2018,10/1/2018,29-Oct-18
70,102,10/15/2018,No program specified,3900,440,10/15/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,10,2018,10/1/2018,15-Oct-18
71,101,10/3/2018,No program specified,3900,445,3/10/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,10,2018,10/1/2018,3-Oct-18
72,100,9/24/2018,Federal Skilled Trades,400,284,9/24/2018,Federal Skilled Trades,9,2018,9/1/2018,24-Sep-18
73,99,9/19/2018,No program specified,3500,441,9/19/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,9,2018,9/1/2018,19-Sep-18
74,98,9/5/2018,No program specified,3900,440,5/9/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,9,2018,9/1/2018,5-Sep-18
75,97,8/22/2018,No program specified,3750,440,8/22/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,8,2018,8/1/2018,22-Aug-18
76,96,8/8/2018,No program specified,3750,440,8/8/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,8,2018,8/1/2018,8-Aug-18
77,95,7/25/2018,No program specified,3750,441,7/25/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,7,2018,7/1/2018,25-Jul-18
78,94,7/11/2018,No program specified,3750,442,11/7/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,7,2018,7/1/2018,11-Jul-18
79,93,6/25/2018,No program specified,3750,442,6/25/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,6,2018,6/1/2018,25-Jun-18
80,92,6/13/2018,No program specified,3750,451,6/13/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,6,2018,6/1/2018,13-Jun-18
81,91,5/30/2018,Federal Skilled Trades,500,288,5/30/2018,Federal Skilled Trades,5,2018,5/1/2018,30-May-18
82,91,5/30/2018,Provincial Nominee Program,200,902,5/30/2018,Provincial Nominee Program,5,2018,5/1/2018,30-May-18
83,90,5/23/2018,No program specified,3500,440,5/23/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,5,2018,5/1/2018,23-May-18
84,89,5/9/2018,No program specified,3500,441,9/5/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,5,2018,5/1/2018,9-May-18
85,88,4/25/2018,No program specified,3500,441,4/25/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,4,2018,4/1/2018,25-Apr-18
86,87,4/11/2018,No program specified,3500,444,11/4/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,4,2018,4/1/2018,11-Apr-18
87,86,3/26/2018,No program specified,3000,446,3/26/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,3,2018,3/1/2018,26-Mar-18
88,85,3/14/2018,No program specified,3000,456,3/14/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,3,2018,3/1/2018,14-Mar-18
89,84,2/21/2018,No program specified,3000,442,2/21/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,2,2018,2/1/2018,21-Feb-18
90,83,2/7/2018,No program specified,3000,442,7/2/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,2,2018,2/1/2018,7-Feb-18
91,82,1/24/2018,No program specified,2750,444,1/24/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,1,2018,1/1/2018,24-Jan-18
92,81,1/10/2018,No program specified,2750,446,10/1/2018,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,1,2018,1/1/2018,10-Jan-18
93,80,12/20/2017,No program specified,2750,446,12/20/2017,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,12,2017,12/1/2017,20-Dec-17
94,79,12/6/2017,No program specified,2750,452,6/12/2017,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,12,2017,12/1/2017,6-Dec-17
95,78,11/15/2017,No program specified,2750,439,11/15/2017,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,11,2017,11/1/2017,15-Nov-17
96,77,11/8/2017,No program specified,2000,458,8/11/2017,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,11,2017,11/1/2017,8-Nov-17
97,76,11/1/2017,Federal Skilled Trades,505,241,1/11/2017,Federal Skilled Trades,11,2017,11/1/2017,1-Nov-17
98,75,11/1/2017,Provincial Nominee Program,290,673,1/11/2017,Provincial Nominee Program,11,2017,11/1/2017,1-Nov-17
99,74,10/18/2017,No program specified,2757,436,10/18/2017,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,10,2017,10/1/2017,18-Oct-17
100,73,10/4/2017,No program specified,2801,438,4/10/2017,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,10,2017,10/1/2017,4-Oct-17
101,72,9/20/2017,No program specified,2871,433,9/20/2017,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,9,2017,9/1/2017,20-Sep-17
102,71,9/6/2017,No program specified,2772,435,6/9/2017,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,9,2017,9/1/2017,6-Sep-17
103,70,8/23/2017,No program specified,3035,434,8/23/2017,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,8,2017,8/1/2017,23-Aug-17
104,69,8/9/2017,No program specified,2991,433,9/8/2017,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,8,2017,8/1/2017,9-Aug-17
105,68,8/2/2017,No program specified,3264,441,2/8/2017,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,8,2017,8/1/2017,2-Aug-17
106,67,7/12/2017,No program specified,3202,440,12/7/2017,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,7,2017,7/1/2017,12-Jul-17
107,66,6/28/2017,No program specified,3409,449,6/28/2017,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,6,2017,6/1/2017,28-Jun-17
108,65,5/31/2017,No program specified,3877,413,5/31/2017,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,5,2017,5/1/2017,31-May-17
109,64,5/26/2017,Federal Skilled Trades,400,199,5/26/2017,Federal Skilled Trades,5,2017,5/1/2017,26-May-17
110,63,5/26/2017,Provincial Nominee Program,143,775,5/26/2017,Provincial Nominee Program,5,2017,5/1/2017,26-May-17
111,62,5/17/2017,No program specified,3687,415,5/17/2017,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,5,2017,5/1/2017,17-May-17
112,61,5/4/2017,No program specified,3796,423,4/5/2017,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,5,2017,5/1/2017,4-May-17
113,60,4/19/2017,No program specified,3665,415,4/19/2017,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,4,2017,4/1/2017,19-Apr-17
114,59,4/12/2017,No program specified,3923,423,12/4/2017,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,4,2017,4/1/2017,12-Apr-17
115,58,4/5/2017,No program specified,3753,431,5/4/2017,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,4,2017,4/1/2017,5-Apr-17
116,57,3/24/2017,No program specified,3749,441,3/24/2017,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,3,2017,3/1/2017,24-Mar-17
117,56,3/1/2017,No program specified,3884,434,1/3/2017,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,3,2017,3/1/2017,1-Mar-17
118,55,2/22/2017,No program specified,3611,441,2/22/2017,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,2,2017,2/1/2017,22-Feb-17
119,54,2/8/2017,No program specified,3644,447,8/2/2017,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,2,2017,2/1/2017,8-Feb-17
120,53,1/25/2017,No program specified,3508,453,1/25/2017,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,1,2017,1/1/2017,25-Jan-17
121,52,1/11/2017,No program specified,3334,459,11/1/2017,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,1,2017,1/1/2017,11-Jan-17
122,51,1/4/2017,No program specified,2902,468,4/1/2017,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,1,2017,1/1/2017,4-Jan-17
123,50,12/22/2016,No program specified,2878,475,12/22/2016,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,12,2016,12/1/2016,22-Dec-16
124,49,12/16/2016,No program specified,1936,497,12/16/2016,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,12,2016,12/1/2016,16-Dec-16
125,48,11/30/2016,Provincial Nominee Program,559,786,11/30/2016,Provincial Nominee Program,11,2016,11/1/2016,30-Nov-16
126,47,11/16/2016,No program specified,2427,470,11/16/2016,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,11,2016,11/1/2016,16-Nov-16
127,46,11/2/2016,No program specified,2080,472,2/11/2016,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,11,2016,11/1/2016,2-Nov-16
128,45,10/19/2016,No program specified,1804,475,10/19/2016,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,10,2016,10/1/2016,19-Oct-16
129,44,10/12/2016,No program specified,1518,484,12/10/2016,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,10,2016,10/1/2016,12-Oct-16
130,43,9/21/2016,No program specified,1288,483,9/21/2016,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,9,2016,9/1/2016,21-Sep-16
131,42,9/7/2016,No program specified,1000,491,7/9/2016,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,9,2016,9/1/2016,7-Sep-16
132,41,8/24/2016,No program specified,750,538,8/24/2016,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,8,2016,8/1/2016,24-Aug-16
133,40,8/10/2016,No program specified,754,490,10/8/2016,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,8,2016,8/1/2016,10-Aug-16
134,39,7/27/2016,No program specified,755,488,7/27/2016,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,7,2016,7/1/2016,27-Jul-16
135,38,7/13/2016,No program specified,747,482,7/13/2016,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,7,2016,7/1/2016,13-Jul-16
136,37,6/29/2016,No program specified,773,482,6/29/2016,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,6,2016,6/1/2016,29-Jun-16
137,36,6/15/2016,No program specified,752,488,6/15/2016,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,6,2016,6/1/2016,15-Jun-16
138,35,6/1/2016,No program specified,762,483,1/6/2016,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,6,2016,6/1/2016,1-Jun-16
139,34,5/18/2016,No program specified,763,484,5/18/2016,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,5,2016,5/1/2016,18-May-16
140,33,5/6/2016,No program specified,799,534,6/5/2016,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,5,2016,5/1/2016,6-May-16
141,32,4/20/2016,No program specified,1018,468,4/20/2016,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,4,2016,4/1/2016,20-Apr-16
142,31,4/6/2016,No program specified,954,470,6/4/2016,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,4,2016,4/1/2016,6-Apr-16
143,30,3/23/2016,No program specified,1014,470,3/23/2016,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,3,2016,3/1/2016,23-Mar-16
144,29,3/9/2016,No program specified,1013,473,9/3/2016,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,3,2016,3/1/2016,9-Mar-16
145,28,2/24/2016,No program specified,1484,453,2/24/2016,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,2,2016,2/1/2016,24-Feb-16
146,27,2/10/2016,No program specified,1505,459,10/2/2016,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,2,2016,2/1/2016,10-Feb-16
147,26,1/27/2016,No program specified,1468,457,1/27/2016,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,1,2016,1/1/2016,27-Jan-16
148,25,1/13/2016,No program specified,1518,453,1/13/2016,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,1,2016,1/1/2016,13-Jan-16
149,24,1/6/2016,No program specified,1463,461,6/1/2016,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,1,2016,1/1/2016,6-Jan-16
150,23,12/18/2015,No program specified,1503,460,12/18/2015,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,12,2015,12/1/2015,18-Dec-15
151,22,12/4/2015,No program specified,1451,461,4/12/2015,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,12,2015,12/1/2015,4-Dec-15
152,21,11/27/2015,No program specified,1559,472,11/27/2015,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,11,2015,11/1/2015,27-Nov-15
153,20,11/13/2015,No program specified,1506,484,11/13/2015,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,11,2015,11/1/2015,13-Nov-15
154,19,10/23/2015,No program specified,1502,489,10/23/2015,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,10,2015,10/1/2015,23-Oct-15
155,18,10/2/2015,No program specified,1530,450,2/10/2015,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,10,2015,10/1/2015,2-Oct-15
156,17,9/18/2015,No program specified,1545,450,9/18/2015,Canadian Experience Class  Federal Skilled Worker Program  Federal Skilled Worker Program  Provincial Nominee Program,9,2015,9/1/2015,18-Sep-15
